run,accuracy
1,0.581081081081081
2,0.581081081081081
3,0.581081081081081
4,0.581081081081081
5,0.5720720720720721
6,0.5765765765765766
7,0.5720720720720721
8,0.581081081081081
9,0.581081081081081
10,0.5765765765765766
