rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation
2022-12-22,id13869,Brazil,BRA,1,1,0,1840.77,1841.3,CONMEBOL
2022-12-22,id13869,Argentina,ARG,2,3,1,1838.38,1773.88,CONMEBOL
2022-12-22,id13869,France,FRA,3,4,1,1823.39,1759.78,UEFA
2022-12-22,id13869,Belgium,BEL,4,2,-2,1781.3,1816.71,UEFA
2022-12-22,id13869,England,ENG,5,5,0,1774.19,1728.47,UEFA
2022-12-22,id13869,Netherlands,NED,6,8,2,1740.92,1694.51,UEFA
2022-12-22,id13869,Croatia,CRO,7,12,5,1727.62,1645.64,UEFA
2022-12-22,id13869,Italy,ITA,8,6,-2,1723.56,1726.14,UEFA
2022-12-22,id13869,Portugal,POR,9,9,0,1702.54,1676.56,UEFA
2022-12-22,id13869,Spain,ESP,10,7,-3,1692.71,1715.22,UEFA
2022-12-22,id13869,Morocco,MAR,11,22,11,1672.35,1563.5,CAF
2022-12-22,id13869,Switzerland,SUI,12,15,3,1655.02,1635.92,UEFA
2022-12-22,id13869,USA,USA,13,16,3,1652.74,1627.48,CONCACAF
2022-12-22,id13869,Germany,GER,14,11,-3,1646.91,1650.21,UEFA
2022-12-22,id13869,Mexico,MEX,15,13,-2,1635.78,1644.89,CONCACAF
2022-12-22,id13869,Uruguay,URU,16,14,-2,1627.45,1638.71,CONMEBOL
2022-12-22,id13869,Colombia,COL,17,17,0,1612.78,1611.04,CONMEBOL
2022-12-22,id13869,Denmark,DEN,18,10,-8,1608.11,1666.57,UEFA
2022-12-22,id13869,Senegal,SEN,19,18,-1,1603.98,1584.38,CAF
2022-12-22,id13869,Japan,JPN,20,24,4,1593.08,1559.54,AFC
2022-12-22,id13869,Peru,PER,21,23,2,1564.3,1561.01,CONMEBOL
2022-12-22,id13869,Poland,POL,22,26,4,1559.83,1548.59,UEFA
2022-12-22,id13869,Sweden,SWE,23,25,2,1558.45,1553.33,UEFA
2022-12-22,id13869,IR Iran,IRN,24,20,-4,1551.73,1564.61,AFC
2022-12-22,id13869,Korea Republic,KOR,25,28,3,1539.49,1530.3,AFC
2022-12-22,id13869,Ukraine,UKR,26,27,1,1536.99,1536.99,UEFA
2022-12-22,id13869,Australia,AUS,27,38,11,1533.97,1488.72,AFC
