rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url
2022-03-31,id13603,Brazil,BRA,1,2.0,1.0,1832.69,1823.42,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Belgium,BEL,2,1.0,-1.0,1827.0,1828.45,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,France,FRA,3,3.0,0.0,1789.85,1786.15,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Argentina,ARG,4,4.0,0.0,1765.13,1766.99,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,England,ENG,5,5.0,0.0,1761.71,1755.52,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Italy,ITA,6,6.0,0.0,1723.31,1740.77,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Spain,ESP,7,7.0,0.0,1709.19,1704.75,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Portugal,POR,8,8.0,0.0,1674.78,1660.25,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Mexico,MEX,9,12.0,3.0,1658.82,1647.9,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Netherlands,NED,10,10.0,0.0,1658.66,1653.73,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Denmark,DEN,11,9.0,-2.0,1653.6,1654.54,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Germany,GER,12,11.0,-1.0,1650.53,1648.33,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Uruguay,URU,13,16.0,3.0,1635.73,1614.05,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Switzerland,SUI,14,14.0,0.0,1635.32,1642.83,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,USA,USA,15,13.0,-2.0,1633.72,1643.34,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Croatia,CRO,16,15.0,-1.0,1621.11,1620.74,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Colombia,COL,17,19.0,2.0,1600.52,1585.89,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Wales,WAL,18,20.0,2.0,1588.08,1578.01,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Sweden,SWE,19,17.0,-2.0,1584.77,1588.26,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
2022-03-31,id13603,Senegal,SEN,20,18.0,-2.0,1584.16,1587.78,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13603
