rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url
2023-09-21,id14142,Argentina,ARG,1,1,0,1851.41,1843.73,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,France,FRA,2,2,0,1840.76,1843.54,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Brazil,BRA,3,3,0,1837.61,1828.27,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,England,ENG,4,4,0,1794.34,1797.39,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Belgium,BEL,5,5,0,1792.64,1788.55,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Croatia,CRO,6,6,0,1747.83,1742.55,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Netherlands,NED,7,7,0,1743.15,1731.23,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Portugal,POR,8,9,1,1728.58,1718.25,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Italy,ITA,9,8,-1,1727.37,1726.58,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Spain,ESP,10,10,0,1710.72,1703.45,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,USA,USA,11,11,0,1678.71,1674.48,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Mexico,MEX,12,12,0,1661.46,1665.59,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Morocco,MAR,13,14,1,1658.32,1655.5,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Switzerland,SUI,14,13,-1,1654.11,1661.12,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Germany,GER,15,15,0,1637.9,1636.32,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Colombia,COL,16,17,1,1629.6,1624.91,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Uruguay,URU,17,16,-1,1626.51,1633.13,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Denmark,DEN,18,19,1,1606.84,1597.37,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Japan,JPN,19,20,1,1605.2,1595.96,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Senegal,SEN,20,18,-2,1597.01,1612.61,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,IR Iran,IRN,21,22,1,1561.26,1556.59,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Peru,PER,22,21,-1,1551.91,1561.2,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Sweden,SWE,23,23,0,1538.84,1547.11,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Ukraine,UKR,24,24,0,1538.42,1541.25,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Austria,AUT,25,29,4,1537.36,1528.06,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Korea Republic,KOR,26,28,2,1533.01,1529.3,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Australia,AUS,27,27,0,1531.72,1530.45,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Serbia,SRB,28,25,-3,1529.49,1539.03,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Tunisia,TUN,29,31,2,1525.23,1516.66,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Poland,POL,30,26,-4,1524.61,1536.99,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Scotland,SCO,31,30,-1,1522.67,1520.24,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Hungary,HUN,32,36,4,1517.73,1504.57,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Wales,WAL,33,35,2,1510.52,1506.04,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Algeria,ALG,34,33,-1,1509.5,1511.23,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Egypt,EGY,35,34,-1,1508.93,1509.89,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Chile,CHI,36,32,-4,1504.75,1511.31,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Czechia,CZE,37,37,0,1500.44,1503.69,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Ecuador,ECU,38,40,2,1497.66,1486.47,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Russia,RUS,39,38,-1,1495.53,1495.53,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Nigeria,NGA,40,39,-1,1488.86,1486.48,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Cameroon,CMR,41,42,1,1475.6,1470.97,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Türkiye,TUR,42,41,-1,1475.4,1484.47,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Norway,NOR,43,44,1,1470.88,1458.47,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Canada,CAN,44,43,-1,1458.58,1458.58,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Panama,PAN,45,45,0,1452.25,1453.94,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Costa Rica,CRC,46,46,0,1452.1,1453.56,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Romania,ROU,47,48,1,1448.02,1443.98,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Slovakia,SVK,48,47,-1,1442.84,1447.05,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Mali,MLI,49,51,2,1441.72,1438.01,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Côte d'Ivoire,CIV,50,52,2,1437.89,1433.38,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Greece,GRE,51,50,-1,1437.26,1441.06,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Paraguay,PAR,52,49,-3,1432.08,1442.64,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Venezuela,VEN,53,57,4,1422.83,1417.23,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Finland,FIN,54,55,1,1418.43,1419.47,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Republic of Ireland,IRL,55,53,-2,1416.32,1426.26,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Jamaica,JAM,56,58,2,1413.73,1409.73,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Saudi Arabia,KSA,57,54,-3,1412.82,1421.46,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Burkina Faso,BFA,58,56,-2,1408.87,1419.18,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Slovenia,SVN,59,61,2,1404.72,1391.04,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Ghana,GHA,60,60,0,1400.0,1391.13,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Qatar,QAT,61,59,-2,1395.57,1395.57,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Albania,ALB,62,65,3,1377.47,1357.39,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Bosnia and Herzegovina,BIH,63,62,-1,1370.37,1381.1,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Congo DR,COD,64,69,5,1369.59,1350.11,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,South Africa,RSA,65,63,-2,1368.25,1368.25,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,North Macedonia,MKD,66,68,2,1362.95,1350.53,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Iceland,ISL,67,67,0,1351.93,1352.98,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Montenegro,MNE,68,71,3,1349.34,1343.45,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Iraq,IRQ,69,70,1,1347.38,1345.21,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,United Arab Emirates,UAE,70,72,2,1342.43,1336.28,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Cabo Verde,CPV,71,66,-5,1337.29,1354.65,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Israel,ISR,72,76,4,1336.34,1323.81,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Oman,OMA,73,73,0,1334.37,1332.45,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Northern Ireland,NIR,74,64,-10,1333.2,1361.17,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Uzbekistan,UZB,75,74,-1,1328.35,1327.58,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,El Salvador,SLV,76,75,-1,1307.0,1325.47,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Honduras,HON,77,79,2,1305.78,1309.23,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Bulgaria,BUL,78,77,-1,1300.74,1315.48,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Georgia,GEO,79,78,-1,1299.32,1312.8,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,China PR,CHN,80,80,0,1297.25,1304.78,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Guinea,GUI,81,81,0,1293.11,1296.75,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Zambia,ZAM,82,84,2,1289.63,1293.77,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Bolivia,BOL,83,83,0,1287.86,1295.09,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Jordan,JOR,84,82,-2,1286.36,1296.26,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Luxembourg,LUX,85,89,4,1273.55,1262.72,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Bahrain,BHR,86,86,0,1273.54,1282.05,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Haiti,HAI,87,87,0,1270.76,1272.64,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Gabon,GAB,88,85,-3,1270.55,1285.25,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Uganda,UGA,89,92,3,1259.97,1250.32,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Curaçao,CUW,90,88,-2,1259.4,1267.87,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Armenia,ARM,91,90,-1,1254.47,1252.6,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Equatorial Guinea,EQG,92,91,-1,1248.98,1251.83,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Syria,SYR,93,94,1,1245.81,1241.62,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Benin,BEN,94,93,-1,1245.44,1248.13,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Vietnam,VIE,95,95,0,1243.14,1238.23,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Kyrgyz Republic,KGZ,96,97,1,1228.6,1224.8,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Palestine,PLE,97,96,-1,1224.05,1233.02,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Trinidad and Tobago,TRI,98,102,4,1217.24,1199.74,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Mauritania,MTN,99,101,2,1207.39,1205.18,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Kazakhstan,KAZ,100,104,4,1206.94,1198.24,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Lebanon,LBN,101,100,-1,1205.56,1205.77,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,India,IND,102,99,-3,1204.88,1208.69,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Guatemala,GUA,103,107,4,1200.18,1186.71,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,New Zealand,NZL,104,103,-1,1199.04,1199.04,OFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Belarus,BLR,105,98,-7,1198.22,1212.28,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Guinea-Bissau,GNB,106,112,6,1190.88,1178.93,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Congo,CGO,107,106,-1,1189.9,1190.63,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Madagascar,MAD,108,108,0,1187.8,1186.09,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Kenya,KEN,109,105,-4,1184.14,1191.07,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Tajikistan,TJK,110,110,0,1183.01,1179.54,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Kosovo,KOS,111,109,-2,1181.91,1179.69,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Thailand,THA,112,113,1,1181.21,1174.37,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Mozambique,MOZ,113,117,4,1179.03,1164.25,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Namibia,NAM,114,114,0,1172.41,1172.41,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Estonia,EST,115,111,-4,1172.25,1179.3,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Korea DPR,PRK,116,115,-1,1169.96,1169.96,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Angola,ANG,117,116,-1,1167.7,1169.07,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,The Gambia,GAM,118,119,1,1160.55,1159.82,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Togo,TOG,119,122,3,1158.24,1140.88,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Cyprus,CYP,120,118,-2,1155.95,1163.73,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Azerbaijan,AZE,121,121,0,1147.69,1143.22,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Tanzania,TAN,122,124,2,1146.46,1138.79,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Malawi,MWI,123,123,0,1144.29,1140.65,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Sierra Leone,SLE,124,120,-4,1144.16,1156.11,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Zimbabwe,ZIM,125,125,0,1138.56,1138.56,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Libya,LBY,126,127,1,1133.6,1130.75,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Central African Republic,CTA,127,126,-1,1126.72,1133.5,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Niger,NIG,128,128,0,1120.01,1129.67,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Comoros,COM,129,130,1,1118.62,1119.99,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Sudan,SDN,130,131,1,1109.22,1116.21,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Faroe Islands,FRO,131,129,-2,1106.52,1126.3,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Philippines,PHI,132,135,3,1099.29,1095.66,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
2023-09-21,id14142,Solomon Islands,SOL,133,133,0,1097.61,1097.61,OFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14142
