rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url
2026-01-19,football_ranking_2026-01-19,Spain,ESP,1,1,0,1877.18,1877.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Argentina,ARG,2,2,0,1873.33,1873.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,France,FRA,3,3,0,1870.0,1870.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,England,ENG,4,4,0,1834.12,1834.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Brazil,BRA,5,5,0,1760.46,1760.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Portugal,POR,6,6,0,1760.38,1760.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Netherlands,NED,7,7,0,1756.27,1756.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Morocco,MAR,8,11,3,1736.56,1716.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Belgium,BEL,9,8,-1,1730.71,1731.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Germany,GER,10,9,-1,1724.15,1724.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Croatia,CRO,11,10,-1,1716.88,1717.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Senegal,SEN,12,19,7,1706.83,1648.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Italy,ITA,13,12,-1,1702.06,1702.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Colombia,COL,14,13,-1,1701.3,1701.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,USA,USA,15,14,-1,1681.88,1682.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Mexico,MEX,16,15,-1,1675.75,1676.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Uruguay,URU,17,16,-1,1672.62,1673.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Switzerland,SUI,18,17,-1,1654.69,1655.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Japan,JPN,19,18,-1,1650.12,1650.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,IR Iran,IRN,20,20,0,1617.02,1617.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Denmark,DEN,21,21,0,1616.75,1617.0,,https://football-ranking.com/ranks?period=19+January+2026
2026-01-19,football_ranking_2026-01-19,Korea Republic,KOR,22,22,0,1599.45,1599.0,,https://football-ranking.com/ranks?period=19+January+2026
