rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url
2022-02-10,id13554,Belgium,BEL,1,1,0,1828.45,1828.45,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Brazil,BRA,2,2,0,1823.42,1826.35,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,France,FRA,3,3,0,1786.15,1786.15,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Argentina,ARG,4,5,1,1766.99,1750.51,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,England,ENG,5,4,-1,1755.52,1755.52,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Italy,ITA,6,6,0,1740.77,1740.77,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Spain,ESP,7,7,0,1704.75,1704.75,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Portugal,POR,8,8,0,1660.25,1660.25,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Denmark,DEN,9,9,0,1654.54,1654.54,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Netherlands,NED,10,10,0,1653.73,1653.73,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Germany,GER,11,12,1,1648.33,1648.33,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Mexico,MEX,12,14,2,1647.9,1638.3,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,USA,USA,13,11,-2,1643.34,1648.51,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Switzerland,SUI,14,13,-1,1642.83,1642.83,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Croatia,CRO,15,15,0,1620.74,1620.74,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Uruguay,URU,16,17,1,1614.05,1596.66,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Sweden,SWE,17,18,1,1588.26,1588.26,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Senegal,SEN,18,20,2,1587.78,1561.68,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Colombia,COL,19,16,-3,1585.89,1607.15,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Wales,WAL,20,19,-1,1578.01,1578.01,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,IR Iran,IRN,21,21,0,1572.89,1557.58,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Peru,PER,22,22,0,1563.45,1551.15,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Japan,JPN,23,26,3,1549.82,1531.53,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Morocco,MAR,24,28,4,1547.42,1529.93,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Serbia,SRB,25,23,-2,1547.38,1547.38,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Chile,CHI,26,24,-2,1543.16,1543.42,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Ukraine,UKR,27,25,-2,1535.08,1535.08,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Poland,POL,28,27,-1,1530.62,1530.62,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Korea Republic,KOR,29,33,4,1522.85,1507.24,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Austria,AUT,30,31,1,1511.56,1511.56,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Czech Republic,CZE,31,32,1,1510.42,1510.42,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Nigeria,NGA,32,36,4,1509.91,1478.78,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Canada,CAN,33,40,7,1497.82,1462.32,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Egypt,EGY,34,45,11,1497.05,1451.77,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Russia,RUS,35,34,-1,1493.42,1493.42,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Tunisia,TUN,36,30,-6,1489.92,1512.72,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Australia,AUS,37,35,-2,1486.86,1484.88,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Cameroon,CMR,38,50,12,1480.82,1437.35,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Turkey,TUR,39,37,-2,1472.72,1472.72,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Scotland,SCO,40,38,-2,1471.82,1471.82,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Hungary,HUN,41,39,-2,1465.62,1465.62,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Costa Rica,CRC,42,49,7,1464.06,1437.43,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Algeria,ALG,43,29,-14,1460.93,1516.51,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Ecuador,ECU,44,46,2,1458.63,1448.27,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Norway,NOR,45,41,-4,1455.43,1455.43,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Slovakia,SVK,46,42,-4,1455.36,1455.36,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Romania,ROU,47,44,-3,1453.18,1453.18,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Mali,MLI,48,53,5,1446.49,1427.98,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Republic of Ireland,IRL,49,47,-2,1444.29,1444.29,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Paraguay,PAR,50,43,-7,1440.53,1454.52,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Côte d'Ivoire,CIV,51,56,5,1439.62,1417.86,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Qatar,QAT,52,48,-4,1437.91,1437.91,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Saudi Arabia,KSA,53,51,-2,1433.95,1434.71,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Northern Ireland,NIR,54,54,0,1424.97,1424.97,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Greece,GRE,55,55,0,1421.99,1421.99,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Burkina Faso,BFA,56,60,4,1418.58,1397.64,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Finland,FIN,57,58,1,1411.77,1411.77,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Venezuela,VEN,58,59,1,1411.45,1409.14,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Bosnia and Herzegovina,BIH,59,61,2,1391.19,1391.19,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Iceland,ISL,60,62,2,1382.81,1385.21,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Ghana,GHA,61,52,-9,1381.45,1428.97,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Jamaica,JAM,62,57,-5,1378.62,1412.13,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Panama,PAN,63,63,0,1375.56,1379.34,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Slovenia,SVN,64,65,1,1375.42,1375.42,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Albania,ALB,65,66,1,1374.98,1374.98,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Congo DR,COD,66,64,-2,1369.53,1375.64,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,North Macedonia,MKD,67,67,0,1367.23,1367.23,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,South Africa,RSA,68,68,0,1358.24,1358.24,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,United Arab Emirates,UAE,69,69,0,1353.1,1350.39,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,El Salvador,SLV,70,70,0,1346.04,1349.47,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Bulgaria,BUL,71,71,0,1345.47,1345.47,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Montenegro,MNE,72,72,0,1342.89,1342.89,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Cabo Verde,CPV,73,73,0,1336.88,1339.48,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Iraq,IRQ,74,75,1,1325.44,1333.03,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,China PR,CHN,75,74,-1,1313.81,1337.33,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Bolivia,BOL,76,77,1,1308.12,1324.21,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Israel,ISR,77,78,1,1306.7,1306.7,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Honduras,HON,78,76,-2,1303.96,1332.16,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Oman,OMA,79,79,0,1301.0,1306.01,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Curaçao,CUW,80,80,0,1298.39,1298.39,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Guinea,GUI,81,81,0,1292.58,1298.32,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Gabon,GAB,82,89,7,1290.65,1262.0,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Benin,BEN,83,83,0,1282.53,1282.53,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Uganda,UGA,84,82,-2,1279.18,1285.28,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Uzbekistan,UZB,85,84,-1,1277.02,1274.58,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Georgia,GEO,86,85,-1,1269.24,1269.24,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Haiti,HAI,87,87,0,1268.05,1268.05,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Zambia,ZAM,88,88,0,1264.64,1264.64,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Bahrain,BHR,89,91,2,1263.61,1252.19,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Jordan,JOR,90,90,0,1259.84,1255.69,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Syria,SYR,91,86,-5,1251.22,1268.54,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Armenia,ARM,92,92,0,1242.24,1242.24,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Luxembourg,LUX,93,93,0,1236.45,1236.45,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Belarus,BLR,94,94,0,1233.43,1233.43,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Lebanon,LBN,95,95,0,1228.97,1233.0,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Kyrgyz Republic,KGZ,96,96,0,1228.69,1228.69,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Congo,CGO,97,97,0,1221.4,1221.4,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Vietnam,VIE,98,98,0,1218.55,1212.54,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Equatorial Guinea,EQG,99,114,15,1210.07,1156.78,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Palestine,PLE,100,99,-1,1208.9,1208.9,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Trinidad and Tobago,TRI,101,100,-1,1205.99,1207.94,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Madagascar,MAD,102,101,-1,1205.61,1205.61,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Kenya,KEN,103,102,-1,1202.26,1202.26,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,India,IND,104,104,0,1182.75,1182.75,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Cyprus,CYP,105,105,0,1178.65,1178.65,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Estonia,EST,106,107,1,1176.5,1176.5,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Sierra Leone,SLE,107,108,1,1173.81,1174.12,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Korea DPR,PRK,108,109,1,1169.96,1169.96,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Kosovo,KOS,109,111,2,1163.05,1163.05,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Namibia,NAM,110,112,2,1162.93,1162.93,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,New Zealand,NZL,111,110,-1,1161.66,1165.81,OFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Thailand,THA,112,115,3,1160.14,1156.16,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Guinea-Bissau,GNB,113,106,-7,1158.62,1177.14,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Niger,NIG,114,113,-1,1158.39,1158.39,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
2022-02-10,id13554,Tajikistan,TJK,115,116,1,1152.56,1152.56,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id13554
