rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation
2023-12-21,id14233,Argentina,ARG,1.0,1.0,0.0,1855.2,1855.2,CONMEBOL
2023-12-21,id14233,France,FRA,2.0,2.0,0.0,1845.44,1845.44,UEFA
2023-12-21,id14233,England,ENG,3.0,3.0,0.0,1800.05,1800.05,UEFA
2023-12-21,id14233,Belgium,BEL,4.0,4.0,0.0,1798.46,1798.46,UEFA
2023-12-21,id14233,Brazil,BRA,5.0,5.0,0.0,1784.09,1784.09,CONMEBOL
2023-12-21,id14233,Netherlands,NED,6.0,6.0,0.0,1745.48,1745.48,UEFA
2023-12-21,id14233,Portugal,POR,7.0,7.0,0.0,1745.06,1745.06,UEFA
2023-12-21,id14233,Spain,ESP,8.0,8.0,0.0,1732.64,1732.64,UEFA
2023-12-21,id14233,Italy,ITA,9.0,9.0,0.0,1718.82,1718.82,UEFA
2023-12-21,id14233,Croatia,CRO,10.0,10.0,0.0,1717.57,1717.57,UEFA
2023-12-21,id14233,Uruguay,URU,11.0,11.0,0.0,1665.99,1665.99,CONMEBOL
2023-12-21,id14233,USA,USA,12.0,12.0,0.0,1665.27,1665.27,CONCACAF
2023-12-21,id14233,Morocco,MAR,13.0,13.0,0.0,1661.69,1661.69,CAF
2023-12-21,id14233,Colombia,COL,14.0,15.0,1.0,1655.29,1651.2,CONMEBOL
2023-12-21,id14233,Mexico,MEX,15.0,14.0,-1.0,1652.7,1655.21,CONCACAF
2023-12-21,id14233,Germany,GER,16.0,16.0,0.0,1631.22,1631.22,UEFA
2023-12-21,id14233,Japan,JPN,17.0,17.0,0.0,1620.19,1620.19,AFC
2023-12-21,id14233,Switzerland,SUI,18.0,18.0,0.0,1613.44,1613.44,UEFA
2023-12-21,id14233,Denmark,DEN,19.0,19.0,0.0,1601.31,1601.31,UEFA
2023-12-21,id14233,Senegal,SEN,20.0,20.0,0.0,1594.31,1594.31,CAF
2023-12-21,id14233,IR Iran,IRN,21.0,21.0,0.0,1565.08,1565.08,AFC
2023-12-21,id14233,Ukraine,UKR,22.0,22.0,0.0,1553.35,1553.35,UEFA
2023-12-21,id14233,Korea Republic,KOR,23.0,23.0,0.0,1550.65,1550.65,AFC
2023-12-21,id14233,Austria,AUT,24.0,24.0,0.0,1546.1,1546.1,UEFA
2023-12-21,id14233,Australia,AUS,25.0,25.0,0.0,1539.22,1539.22,AFC
2023-12-21,id14233,Sweden,SWE,26.0,26.0,0.0,1530.19,1530.19,UEFA
2023-12-21,id14233,Hungary,HUN,27.0,27.0,0.0,1525.13,1525.13,UEFA
2023-12-21,id14233,Tunisia,TUN,28.0,28.0,0.0,1523.23,1523.23,CAF
2023-12-21,id14233,Wales,WAL,29.0,29.0,0.0,1521.88,1521.88,UEFA
2023-12-21,id14233,Algeria,ALG,30.0,30.0,0.0,1520.26,1520.26,CAF
2023-12-21,id14233,Poland,POL,31.0,31.0,0.0,1520.24,1520.24,UEFA
2023-12-21,id14233,Ecuador,ECU,32.0,32.0,0.0,1519.2,1519.2,CONMEBOL
2023-12-21,id14233,Egypt,EGY,33.0,33.0,0.0,1518.91,1518.91,CAF
