rank_date,date_id,country,country_code,rank,previous_rank,rank_change,total_points,previous_points,confederation,source_url
2023-07-20,id14079,Argentina,ARG,1,1,0,1843.73,1843.73,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,France,FRA,2,2,0,1843.54,1843.54,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Brazil,BRA,3,3,0,1828.27,1828.27,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,England,ENG,4,4,0,1797.39,1797.39,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Belgium,BEL,5,5,0,1788.55,1788.55,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Croatia,CRO,6,6,0,1742.55,1742.55,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Netherlands,NED,7,7,0,1731.23,1731.23,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Italy,ITA,8,8,0,1726.58,1726.58,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Portugal,POR,9,9,0,1718.25,1718.25,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Spain,ESP,10,10,0,1703.45,1703.45,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,USA,USA,11,11,0,1674.48,1673.34,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Mexico,MEX,12,14,2,1665.59,1639.19,CONCACAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Switzerland,SUI,13,12,-1,1661.12,1661.12,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Morocco,MAR,14,13,-1,1655.5,1655.5,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Germany,GER,15,15,0,1636.32,1636.32,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Uruguay,URU,16,16,0,1633.13,1633.13,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Colombia,COL,17,17,0,1624.91,1624.91,CONMEBOL,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Senegal,SEN,18,18,0,1612.61,1612.61,CAF,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Denmark,DEN,19,19,0,1597.37,1597.37,UEFA,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
2023-07-20,id14079,Japan,JPN,20,20,0,1595.96,1595.96,AFC,https://inside.fifa.com/fifa-world-ranking/men?dateId=id14079
