,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,is_world_cup,is_qualifier
233,2023-11-16,Syria,North Korea,1.0,0.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,1,2023,0,1
234,2023-11-16,Thailand,China PR,1.0,2.0,FIFA World Cup qualification,Bangkok,Thailand,0,2023,0,1
235,2023-11-16,South Korea,Singapore,5.0,0.0,FIFA World Cup qualification,Seoul,South Korea,0,2023,0,1
236,2023-11-16,Oman,Taiwan,3.0,0.0,FIFA World Cup qualification,Muscat,Oman,0,2023,0,1
237,2023-11-16,Malaysia,Kyrgyzstan,4.0,3.0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,0,2023,0,1
238,2023-11-16,Japan,Myanmar,5.0,0.0,FIFA World Cup qualification,Suita,Japan,0,2023,0,1
239,2023-11-17,Tunisia,São Tomé and Príncipe,4.0,0.0,FIFA World Cup qualification,Radès,Tunisia,0,2023,0,1
240,2023-11-17,Mali,Chad,3.0,1.0,FIFA World Cup qualification,Bamako,Mali,0,2023,0,1
241,2023-11-17,Ghana,Madagascar,1.0,0.0,FIFA World Cup qualification,Kumasi,Ghana,0,2023,0,1
242,2023-11-17,Comoros,Central African Republic,4.0,2.0,FIFA World Cup qualification,Moroni,Comoros,0,2023,0,1
243,2023-11-17,Liberia,Malawi,0.0,1.0,FIFA World Cup qualification,Monrovia,Liberia,0,2023,0,1
244,2023-11-17,Eswatini,Libya,0.0,1.0,FIFA World Cup qualification,Mbombela,South Africa,1,2023,0,1
245,2023-11-17,Ivory Coast,Seychelles,9.0,0.0,FIFA World Cup qualification,Abidjan,Ivory Coast,0,2023,0,1
246,2023-11-17,Zambia,Congo,4.0,2.0,FIFA World Cup qualification,Ndola,Zambia,0,2023,0,1
247,2023-11-17,Cameroon,Mauritius,3.0,0.0,FIFA World Cup qualification,Douala,Cameroon,0,2023,0,1
248,2023-11-17,Burkina Faso,Guinea-Bissau,1.0,1.0,FIFA World Cup qualification,Marrakech,Morocco,1,2023,0,1
249,2023-11-17,Guinea,Uganda,2.0,1.0,FIFA World Cup qualification,Berkane,Morocco,1,2023,0,1
250,2023-11-18,Senegal,South Sudan,4.0,0.0,FIFA World Cup qualification,Diamniadio,Senegal,0,2023,0,1
251,2023-11-18,South Africa,Benin,2.0,1.0,FIFA World Cup qualification,Durban,South Africa,0,2023,0,1
252,2023-11-18,Niger,Tanzania,0.0,1.0,FIFA World Cup qualification,Marrakech,Morocco,1,2023,0,1
253,2023-11-19,Burundi,Gabon,1.0,2.0,FIFA World Cup qualification,Dar es Salaam,Tanzania,1,2023,0,1
254,2023-11-19,Sierra Leone,Egypt,0.0,2.0,FIFA World Cup qualification,Monrovia,Liberia,1,2023,0,1
255,2023-11-19,Sudan,DR Congo,1.0,0.0,FIFA World Cup qualification,Benghazi,Libya,1,2023,0,1
256,2023-11-19,Zimbabwe,Nigeria,1.0,1.0,FIFA World Cup qualification,Butare,Rwanda,1,2023,0,1
257,2023-11-19,Mozambique,Algeria,0.0,2.0,FIFA World Cup qualification,Maputo,Mozambique,0,2023,0,1
258,2023-11-20,Mali,Central African Republic,1.0,1.0,FIFA World Cup qualification,Bamako,Mali,0,2023,0,1
259,2023-11-20,Liberia,Equatorial Guinea,3.0,0.0,FIFA World Cup qualification,Monrovia,Liberia,0,2023,0,1
260,2023-11-20,Chad,Madagascar,0.0,3.0,FIFA World Cup qualification,Oujda,Morocco,1,2023,0,1
261,2023-11-20,Gambia,Ivory Coast,0.0,2.0,FIFA World Cup qualification,Dar es Salaam,Tanzania,1,2023,0,1
262,2023-11-20,Djibouti,Guinea-Bissau,0.0,1.0,FIFA World Cup qualification,Cairo,Egypt,1,2023,0,1
263,2023-11-20,Seychelles,Kenya,0.0,5.0,FIFA World Cup qualification,Abidjan,Ivory Coast,1,2023,0,1
264,2023-11-21,Palestine,Australia,0.0,1.0,FIFA World Cup qualification,Kuwait City,Kuwait,1,2023,0,1
265,2023-11-21,Bangladesh,Lebanon,1.0,1.0,FIFA World Cup qualification,Dhaka,Bangladesh,0,2023,0,1
266,2023-11-21,Ethiopia,Burkina Faso,0.0,3.0,FIFA World Cup qualification,El Jadida,Morocco,1,2023,0,1
267,2023-11-21,South Sudan,Mauritania,0.0,0.0,FIFA World Cup qualification,Diamniadio,Senegal,1,2023,0,1
268,2023-11-21,Togo,Senegal,0.0,0.0,FIFA World Cup qualification,Lomé,Togo,0,2023,0,1
269,2023-11-21,Lesotho,Benin,0.0,0.0,FIFA World Cup qualification,Durban,South Africa,1,2023,0,1
270,2023-11-21,Rwanda,South Africa,2.0,0.0,FIFA World Cup qualification,Butare,Rwanda,0,2023,0,1
271,2023-11-21,Eswatini,Cape Verde,0.0,2.0,FIFA World Cup qualification,Mbombela,South Africa,1,2023,0,1
272,2023-11-21,Libya,Cameroon,1.0,1.0,FIFA World Cup qualification,Benghazi,Libya,0,2023,0,1
273,2023-11-21,Mauritius,Angola,0.0,0.0,FIFA World Cup qualification,Saint Pierre,Mauritius,0,2023,0,1
274,2023-11-21,Tanzania,Morocco,0.0,2.0,FIFA World Cup qualification,Dar es Salaam,Tanzania,0,2023,0,1
275,2023-11-21,Somalia,Uganda,0.0,1.0,FIFA World Cup qualification,Berkane,Morocco,1,2023,0,1
276,2023-11-21,Botswana,Guinea,1.0,0.0,FIFA World Cup qualification,Francistown,Botswana,0,2023,0,1
277,2023-11-21,Malawi,Tunisia,0.0,1.0,FIFA World Cup qualification,Lilongwe,Malawi,0,2023,0,1
278,2023-11-21,São Tomé and Príncipe,Namibia,0.0,2.0,FIFA World Cup qualification,Agadir,Morocco,1,2023,0,1
279,2023-11-21,Comoros,Ghana,1.0,0.0,FIFA World Cup qualification,Moroni,Comoros,0,2023,0,1
280,2023-11-21,Nepal,Yemen,0.0,2.0,FIFA World Cup qualification,Kathmandu,Nepal,0,2023,0,1
281,2023-11-21,Bahrain,United Arab Emirates,0.0,2.0,FIFA World Cup qualification,Riffa,Bahrain,0,2023,0,1
282,2023-11-21,Niger,Zambia,2.0,1.0,FIFA World Cup qualification,Marrakech,Morocco,1,2023,0,1
283,2023-11-21,Pakistan,Tajikistan,1.0,6.0,FIFA World Cup qualification,Islamabad,Pakistan,0,2023,0,1
284,2023-11-21,Jordan,Saudi Arabia,0.0,2.0,FIFA World Cup qualification,Amman,Jordan,0,2023,0,1
285,2023-11-21,Ecuador,Chile,1.0,0.0,FIFA World Cup qualification,Quito,Ecuador,0,2023,0,1
286,2023-11-21,Paraguay,Colombia,0.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,0,2023,0,1
287,2023-11-21,Uruguay,Bolivia,3.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,0,2023,0,1
288,2023-11-21,Peru,Venezuela,1.0,1.0,FIFA World Cup qualification,Lima,Peru,0,2023,0,1
289,2023-11-21,Brazil,Argentina,0.0,1.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,0,2023,0,1
290,2023-11-21,Afghanistan,Kuwait,0.0,4.0,FIFA World Cup qualification,Dammam,Saudi Arabia,1,2023,0,1
291,2023-11-21,Myanmar,North Korea,1.0,6.0,FIFA World Cup qualification,Yangon,Myanmar,0,2023,0,1
292,2023-11-21,India,Qatar,0.0,3.0,FIFA World Cup qualification,Bhubaneswar,India,0,2023,0,1
293,2023-11-21,China PR,South Korea,0.0,3.0,FIFA World Cup qualification,Shenzhen,China PR,0,2023,0,1
294,2023-11-21,Vietnam,Iraq,0.0,1.0,FIFA World Cup qualification,Hanoi,Vietnam,0,2023,0,1
295,2023-11-21,Syria,Japan,0.0,5.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,1,2023,0,1
296,2023-11-21,Hong Kong,Turkmenistan,2.0,2.0,FIFA World Cup qualification,Hong Kong,Hong Kong,0,2023,0,1
297,2023-11-21,Uzbekistan,Iran,2.0,2.0,FIFA World Cup qualification,Tashkent,Uzbekistan,0,2023,0,1
298,2023-11-21,Philippines,Indonesia,1.0,1.0,FIFA World Cup qualification,Manila,Philippines,0,2023,0,1
299,2023-11-21,Taiwan,Malaysia,0.0,1.0,FIFA World Cup qualification,Taipei,Taiwan,0,2023,0,1
300,2023-11-21,Singapore,Thailand,1.0,3.0,FIFA World Cup qualification,Kallang,Singapore,0,2023,0,1
301,2023-11-21,Kyrgyzstan,Oman,1.0,0.0,FIFA World Cup qualification,Bishkek,Kyrgyzstan,0,2023,0,1
302,2024-03-21,Indonesia,Vietnam,1.0,0.0,FIFA World Cup qualification,Jakarta,Indonesia,0,2024,0,1
303,2024-03-21,Palestine,Bangladesh,5.0,0.0,FIFA World Cup qualification,Kuwait City,Kuwait,1,2024,0,1
304,2024-03-21,Australia,Lebanon,2.0,0.0,FIFA World Cup qualification,Sydney,Australia,0,2024,0,1
305,2024-03-21,United Arab Emirates,Yemen,2.0,1.0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,0,2024,0,1
306,2024-03-21,Bahrain,Nepal,5.0,0.0,FIFA World Cup qualification,Riffa,Bahrain,0,2024,0,1
307,2024-03-21,Saudi Arabia,Tajikistan,1.0,0.0,FIFA World Cup qualification,Riyadh,Saudi Arabia,0,2024,0,1
308,2024-03-21,Pakistan,Jordan,0.0,3.0,FIFA World Cup qualification,Islamabad,Pakistan,0,2024,0,1
309,2024-03-21,Iraq,Philippines,1.0,0.0,FIFA World Cup qualification,Basra,Iraq,0,2024,0,1
310,2024-03-21,Hong Kong,Uzbekistan,0.0,2.0,FIFA World Cup qualification,Hong Kong,Hong Kong,0,2024,0,1
311,2024-03-21,South Korea,Thailand,1.0,1.0,FIFA World Cup qualification,Seoul,South Korea,0,2024,0,1
312,2024-03-21,Oman,Malaysia,2.0,0.0,FIFA World Cup qualification,Muscat,Oman,0,2024,0,1
313,2024-03-21,Taiwan,Kyrgyzstan,0.0,2.0,FIFA World Cup qualification,Taipei,Taiwan,0,2024,0,1
314,2024-03-21,Singapore,China PR,2.0,2.0,FIFA World Cup qualification,Kallang,Singapore,0,2024,0,1
315,2024-03-21,Japan,North Korea,1.0,0.0,FIFA World Cup qualification,Tokyo,Japan,0,2024,0,1
316,2024-03-21,Myanmar,Syria,1.0,1.0,FIFA World Cup qualification,Yangon,Myanmar,0,2024,0,1
317,2024-03-21,Afghanistan,India,0.0,0.0,FIFA World Cup qualification,Abha,Saudi Arabia,1,2024,0,1
318,2024-03-21,Qatar,Kuwait,3.0,0.0,FIFA World Cup qualification,Doha,Qatar,0,2024,0,1
319,2024-03-21,Iran,Turkmenistan,5.0,0.0,FIFA World Cup qualification,Tehran,Iran,0,2024,0,1
320,2024-03-22,United States Virgin Islands,British Virgin Islands,1.0,1.0,FIFA World Cup qualification,Saint Croix,United States Virgin Islands,0,2024,0,1
321,2024-03-22,Anguilla,Turks and Caicos Islands,0.0,0.0,FIFA World Cup qualification,The Valley,Anguilla,0,2024,0,1
322,2024-03-26,Tajikistan,Saudi Arabia,1.0,1.0,FIFA World Cup qualification,Dushanbe,Tajikistan,0,2024,0,1
323,2024-03-26,Turks and Caicos Islands,Anguilla,1.0,1.0,FIFA World Cup qualification,Providenciales,Turks and Caicos Islands,0,2024,0,1
324,2024-03-26,British Virgin Islands,United States Virgin Islands,0.0,0.0,FIFA World Cup qualification,Road Town,British Virgin Islands,0,2024,0,1
325,2024-03-26,Australia,Lebanon,5.0,0.0,FIFA World Cup qualification,Canberra,Australia,0,2024,0,1
326,2024-03-26,Bangladesh,Palestine,0.0,1.0,FIFA World Cup qualification,Dhaka,Bangladesh,0,2024,0,1
327,2024-03-26,Yemen,United Arab Emirates,0.0,3.0,FIFA World Cup qualification,Khobar,Saudi Arabia,1,2024,0,1
328,2024-03-26,Bahrain,Nepal,3.0,0.0,FIFA World Cup qualification,Riffa,Bahrain,0,2024,0,1
329,2024-03-26,Jordan,Pakistan,7.0,0.0,FIFA World Cup qualification,Amman,Jordan,0,2024,0,1
330,2024-03-26,Vietnam,Indonesia,0.0,3.0,FIFA World Cup qualification,Hanoi,Vietnam,0,2024,0,1
331,2024-03-26,Syria,Myanmar,7.0,0.0,FIFA World Cup qualification,Dammam,Saudi Arabia,1,2024,0,1
332,2024-03-26,Turkmenistan,Iran,0.0,1.0,FIFA World Cup qualification,Ashgabat,Turkmenistan,0,2024,0,1
333,2024-03-26,Uzbekistan,Hong Kong,3.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,0,2024,0,1
334,2024-03-26,Malaysia,Oman,0.0,2.0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,0,2024,0,1
335,2024-03-26,Kyrgyzstan,Taiwan,5.0,1.0,FIFA World Cup qualification,Bishkek,Kyrgyzstan,0,2024,0,1
336,2024-03-26,China PR,Singapore,4.0,1.0,FIFA World Cup qualification,Tianjin,China PR,0,2024,0,1
337,2024-03-26,Thailand,South Korea,0.0,3.0,FIFA World Cup qualification,Bangkok,Thailand,0,2024,0,1
338,2024-03-26,Philippines,Iraq,0.0,5.0,FIFA World Cup qualification,Manila,Philippines,0,2024,0,1
339,2024-03-26,Kuwait,Qatar,1.0,2.0,FIFA World Cup qualification,Al Farwaniyah,Kuwait,0,2024,0,1
340,2024-03-26,India,Afghanistan,1.0,2.0,FIFA World Cup qualification,Guwahati,India,0,2024,0,1
341,2024-06-05,Suriname,Saint Vincent and the Grenadines,4.0,1.0,FIFA World Cup qualification,Paramaribo,Suriname,0,2024,0,1
342,2024-06-05,Guatemala,Dominica,6.0,0.0,FIFA World Cup qualification,Guatemala City,Guatemala,0,2024,0,1
343,2024-06-05,Curaçao,Barbados,4.0,1.0,FIFA World Cup qualification,Willemstad,Curaçao,0,2024,0,1
344,2024-06-05,Trinidad and Tobago,Grenada,2.0,2.0,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,0,2024,0,1
345,2024-06-05,Antigua and Barbuda,Bermuda,1.0,1.0,FIFA World Cup qualification,Piggotts,Antigua and Barbuda,0,2024,0,1
346,2024-06-05,Nicaragua,Montserrat,4.0,1.0,FIFA World Cup qualification,Managua,Nicaragua,0,2024,0,1
347,2024-06-05,Tunisia,Equatorial Guinea,1.0,0.0,FIFA World Cup qualification,Radès,Tunisia,0,2024,0,1
348,2024-06-05,Namibia,Liberia,1.0,1.0,FIFA World Cup qualification,Johannesburg,South Africa,1,2024,0,1
349,2024-06-05,Togo,South Sudan,1.0,1.0,FIFA World Cup qualification,Lomé,Togo,0,2024,0,1
350,2024-06-05,Sierra Leone,Djibouti,2.0,1.0,FIFA World Cup qualification,El Jadida,Morocco,1,2024,0,1
351,2024-06-05,Central African Republic,Chad,1.0,0.0,FIFA World Cup qualification,Oujda,Morocco,1,2024,0,1
352,2024-06-06,Indonesia,Iraq,0.0,2.0,FIFA World Cup qualification,Jakarta,Indonesia,0,2024,0,1
353,2024-06-06,Vietnam,Philippines,3.0,2.0,FIFA World Cup qualification,Hanoi,Vietnam,0,2024,0,1
354,2024-06-06,Jordan,Tajikistan,3.0,0.0,FIFA World Cup qualification,Amman,Jordan,0,2024,0,1
355,2024-06-06,Pakistan,Saudi Arabia,0.0,3.0,FIFA World Cup qualification,Islamabad,Pakistan,0,2024,0,1
356,2024-06-06,Nepal,United Arab Emirates,0.0,4.0,FIFA World Cup qualification,Dammam,Saudi Arabia,1,2024,0,1
357,2024-06-06,El Salvador,Puerto Rico,0.0,0.0,FIFA World Cup qualification,San Salvador,El Salvador,0,2024,0,1
358,2024-06-06,Bahrain,Yemen,0.0,0.0,FIFA World Cup qualification,Riffa,Bahrain,0,2024,0,1
359,2024-06-06,Palestine,Lebanon,0.0,0.0,FIFA World Cup qualification,Doha,Qatar,1,2024,0,1
360,2024-06-06,Honduras,Cuba,3.0,1.0,FIFA World Cup qualification,Tegucigalpa,Honduras,0,2024,0,1
361,2024-06-06,Costa Rica,Saint Kitts and Nevis,4.0,0.0,FIFA World Cup qualification,San José,Costa Rica,0,2024,0,1
362,2024-06-06,Haiti,Saint Lucia,2.0,1.0,FIFA World Cup qualification,Bridgetown,Barbados,1,2024,0,1
363,2024-06-06,Panama,Guyana,2.0,0.0,FIFA World Cup qualification,Panama City,Panama,0,2024,0,1
364,2024-06-06,Jamaica,Dominican Republic,1.0,0.0,FIFA World Cup qualification,Kingston,Jamaica,0,2024,0,1
365,2024-06-06,Hong Kong,Iran,2.0,4.0,FIFA World Cup qualification,Hong Kong,Hong Kong,0,2024,0,1
366,2024-06-06,Bangladesh,Australia,0.0,2.0,FIFA World Cup qualification,Dhaka,Bangladesh,0,2024,0,1
367,2024-06-06,Uzbekistan,Turkmenistan,3.0,1.0,FIFA World Cup qualification,Tashkent,Uzbekistan,0,2024,0,1
368,2024-06-06,Mali,Ghana,1.0,2.0,FIFA World Cup qualification,Bamako,Mali,0,2024,0,1
369,2024-06-06,Taiwan,Oman,0.0,3.0,FIFA World Cup qualification,Taipei,Taiwan,0,2024,0,1
370,2024-06-06,Guinea-Bissau,Ethiopia,0.0,0.0,FIFA World Cup qualification,Bissau,Guinea-Bissau,0,2024,0,1
371,2024-06-06,Egypt,Burkina Faso,2.0,1.0,FIFA World Cup qualification,Cairo,Egypt,0,2024,0,1
372,2024-06-06,Mauritania,Sudan,0.0,2.0,FIFA World Cup qualification,Nouakchott,Mauritania,0,2024,0,1
373,2024-06-06,Senegal,DR Congo,1.0,1.0,FIFA World Cup qualification,Diamniadio,Senegal,0,2024,0,1
374,2024-06-06,Benin,Rwanda,1.0,0.0,FIFA World Cup qualification,Abidjan,Ivory Coast,1,2024,0,1
375,2024-06-06,Kyrgyzstan,Malaysia,1.0,1.0,FIFA World Cup qualification,Bishkek,Kyrgyzstan,0,2024,0,1
376,2024-06-06,Algeria,Guinea,1.0,2.0,FIFA World Cup qualification,Algiers,Algeria,0,2024,0,1
377,2024-06-06,Libya,Mauritius,2.0,1.0,FIFA World Cup qualification,Benghazi,Libya,0,2024,0,1
378,2024-06-06,Afghanistan,Qatar,0.0,0.0,FIFA World Cup qualification,Al Hofuf,Saudi Arabia,1,2024,0,1
379,2024-06-06,India,Kuwait,0.0,0.0,FIFA World Cup qualification,Kolkota,India,0,2024,0,1
380,2024-06-06,Myanmar,Japan,0.0,5.0,FIFA World Cup qualification,Yangon,Myanmar,0,2024,0,1
381,2024-06-06,North Korea,Syria,1.0,0.0,FIFA World Cup qualification,Vientiane,Laos,1,2024,0,1
382,2024-06-06,China PR,Thailand,1.0,1.0,FIFA World Cup qualification,Shenyang,China PR,0,2024,0,1
383,2024-06-06,Singapore,South Korea,0.0,7.0,FIFA World Cup qualification,Kallang,Singapore,0,2024,0,1
384,2024-06-06,Malawi,São Tomé and Príncipe,3.0,1.0,FIFA World Cup qualification,Lilongwe,Malawi,0,2024,0,1
385,2024-06-07,Ivory Coast,Gabon,1.0,0.0,FIFA World Cup qualification,Korhogo,Ivory Coast,0,2024,0,1
386,2024-06-07,Uganda,Botswana,1.0,0.0,FIFA World Cup qualification,Kira,Uganda,0,2024,0,1
387,2024-06-07,Mozambique,Somalia,2.0,1.0,FIFA World Cup qualification,Maputo,Mozambique,0,2024,0,1
388,2024-06-07,Kenya,Burundi,1.0,1.0,FIFA World Cup qualification,Lilongwe,Malawi,1,2024,0,1
389,2024-06-07,Madagascar,Comoros,2.0,1.0,FIFA World Cup qualification,Johannesburg,South Africa,1,2024,0,1
390,2024-06-07,Angola,Eswatini,1.0,0.0,FIFA World Cup qualification,Luanda,Angola,0,2024,0,1
391,2024-06-07,Nigeria,South Africa,1.0,1.0,FIFA World Cup qualification,Uyo,Nigeria,0,2024,0,1
392,2024-06-07,Zimbabwe,Lesotho,0.0,2.0,FIFA World Cup qualification,Johannesburg,South Africa,1,2024,0,1
393,2024-06-07,Morocco,Zambia,2.0,1.0,FIFA World Cup qualification,Agadir,Morocco,0,2024,0,1
394,2024-06-08,Anguilla,Suriname,0.0,4.0,FIFA World Cup qualification,The Valley,Anguilla,0,2024,0,1
395,2024-06-08,British Virgin Islands,Guatemala,0.0,3.0,FIFA World Cup qualification,Road Town,British Virgin Islands,0,2024,0,1
396,2024-06-08,Belize,Nicaragua,0.0,4.0,FIFA World Cup qualification,Belmopan,Belize,0,2024,0,1
397,2024-06-08,Aruba,Curaçao,0.0,2.0,FIFA World Cup qualification,Oranjestad,Aruba,0,2024,0,1
398,2024-06-08,Cayman Islands,Antigua and Barbuda,1.0,0.0,FIFA World Cup qualification,George Town,Cayman Islands,0,2024,0,1
399,2024-06-08,Gambia,Seychelles,5.0,1.0,FIFA World Cup qualification,Berkane,Morocco,1,2024,0,1
400,2024-06-08,Cameroon,Cape Verde,4.0,1.0,FIFA World Cup qualification,Yaoundé,Cameroon,0,2024,0,1
401,2024-06-08,Bahamas,Trinidad and Tobago,1.0,7.0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,1,2024,0,1
402,2024-06-09,Barbados,Haiti,1.0,3.0,FIFA World Cup qualification,Bridgetown,Barbados,0,2024,0,1
403,2024-06-09,Saint Vincent and the Grenadines,El Salvador,1.0,3.0,FIFA World Cup qualification,Paramaribo,Suriname,1,2024,0,1
404,2024-06-09,Dominica,Jamaica,2.0,3.0,FIFA World Cup qualification,Roseau,Dominica,0,2024,0,1
405,2024-06-09,Montserrat,Panama,1.0,3.0,FIFA World Cup qualification,Managua,Nicaragua,1,2024,0,1
406,2024-06-09,Grenada,Costa Rica,0.0,3.0,FIFA World Cup qualification,St. George's,Grenada,0,2024,0,1
407,2024-06-09,Mauritania,Senegal,0.0,1.0,FIFA World Cup qualification,Nouakchott,Mauritania,0,2024,0,1
408,2024-06-09,Namibia,Tunisia,0.0,0.0,FIFA World Cup qualification,Johannesburg,South Africa,1,2024,0,1
409,2024-06-09,São Tomé and Príncipe,Liberia,0.0,1.0,FIFA World Cup qualification,Oujda,Morocco,1,2024,0,1
410,2024-06-09,DR Congo,Togo,1.0,0.0,FIFA World Cup qualification,Kinshasa,DR Congo,0,2024,0,1
411,2024-06-09,Djibouti,Ethiopia,1.0,1.0,FIFA World Cup qualification,El Jadida,Morocco,1,2024,0,1
412,2024-06-09,Bermuda,Honduras,1.0,6.0,FIFA World Cup qualification,Hamilton,Bermuda,0,2024,0,1
413,2024-06-10,Guinea,Mozambique,0.0,1.0,FIFA World Cup qualification,El Jadida,Morocco,1,2024,0,1
414,2024-06-10,Ghana,Central African Republic,4.0,3.0,FIFA World Cup qualification,Kumasi,Ghana,0,2024,0,1
415,2024-06-10,Equatorial Guinea,Malawi,1.0,0.0,FIFA World Cup qualification,Malabo,Equatorial Guinea,0,2024,0,1
416,2024-06-10,Uganda,Algeria,1.0,2.0,FIFA World Cup qualification,Kira,Uganda,0,2024,0,1
417,2024-06-10,Burkina Faso,Sierra Leone,2.0,2.0,FIFA World Cup qualification,Bamako,Mali,1,2024,0,1
418,2024-06-10,Benin,Nigeria,2.0,1.0,FIFA World Cup qualification,Abidjan,Ivory Coast,1,2024,0,1
419,2024-06-10,Guinea-Bissau,Egypt,1.0,1.0,FIFA World Cup qualification,Bissau,Guinea-Bissau,0,2024,0,1
420,2024-06-10,Somalia,Botswana,1.0,3.0,FIFA World Cup qualification,Maputo,Mozambique,1,2024,0,1
421,2024-06-11,Turkmenistan,Hong Kong,0.0,0.0,FIFA World Cup qualification,Ashgabat,Turkmenistan,0,2024,0,1
422,2024-06-11,Iran,Uzbekistan,0.0,0.0,FIFA World Cup qualification,Tehran,Iran,0,2024,0,1
423,2024-06-11,Indonesia,Philippines,2.0,0.0,FIFA World Cup qualification,Jakarta,Indonesia,0,2024,0,1
424,2024-06-11,Iraq,Vietnam,3.0,1.0,FIFA World Cup qualification,Basra,Iraq,0,2024,0,1
425,2024-06-11,Tajikistan,Pakistan,3.0,0.0,FIFA World Cup qualification,Dushanbe,Tajikistan,0,2024,0,1
426,2024-06-11,Saudi Arabia,Jordan,1.0,2.0,FIFA World Cup qualification,Riyadh,Saudi Arabia,0,2024,0,1
427,2024-06-11,United Arab Emirates,Bahrain,1.0,1.0,FIFA World Cup qualification,Dubai,United Arab Emirates,0,2024,0,1
428,2024-06-11,Yemen,Nepal,2.0,2.0,FIFA World Cup qualification,Dammam,Saudi Arabia,1,2024,0,1
429,2024-06-11,Lebanon,Bangladesh,4.0,0.0,FIFA World Cup qualification,Al Rayyan,Qatar,1,2024,0,1
430,2024-06-11,Cuba,Cayman Islands,3.0,0.0,FIFA World Cup qualification,Santiago,Cuba,0,2024,0,1
431,2024-06-11,Saint Kitts and Nevis,Bahamas,1.0,0.0,FIFA World Cup qualification,Basseterre,Saint Kitts and Nevis,0,2024,0,1
432,2024-06-11,Saint Lucia,Aruba,2.0,2.0,FIFA World Cup qualification,Bridgetown,Barbados,1,2024,0,1
433,2024-06-11,Guyana,Belize,3.0,1.0,FIFA World Cup qualification,Bridgetown,Barbados,1,2024,0,1
434,2024-06-11,Dominican Republic,British Virgin Islands,4.0,0.0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,0,2024,0,1
435,2024-06-11,Puerto Rico,Anguilla,8.0,0.0,FIFA World Cup qualification,Bayamón,Puerto Rico,0,2024,0,1
436,2024-06-11,Malaysia,Taiwan,3.0,1.0,FIFA World Cup qualification,Kuala Lumpur,Malaysia,0,2024,0,1
437,2024-06-11,Australia,Palestine,5.0,0.0,FIFA World Cup qualification,Perth,Australia,0,2024,0,1
438,2024-06-11,Oman,Kyrgyzstan,1.0,1.0,FIFA World Cup qualification,Muscat,Oman,0,2024,0,1
439,2024-06-11,Angola,Cameroon,1.0,1.0,FIFA World Cup qualification,Luanda,Angola,0,2024,0,1
440,2024-06-11,Thailand,Singapore,3.0,1.0,FIFA World Cup qualification,Bangkok,Thailand,0,2024,0,1
441,2024-06-11,South Sudan,Sudan,0.0,3.0,FIFA World Cup qualification,Juba,South Sudan,0,2024,0,1
442,2024-06-11,Lesotho,Rwanda,0.0,1.0,FIFA World Cup qualification,Durban,South Africa,1,2024,0,1
443,2024-06-11,South Africa,Zimbabwe,3.0,1.0,FIFA World Cup qualification,Bloemfontein,South Africa,0,2024,0,1
444,2024-06-11,Cape Verde,Libya,1.0,0.0,FIFA World Cup qualification,Praia,Cape Verde,0,2024,0,1
445,2024-06-11,Mauritius,Eswatini,2.0,1.0,FIFA World Cup qualification,Saint Pierre,Mauritius,0,2024,0,1
446,2024-06-11,South Korea,China PR,1.0,0.0,FIFA World Cup qualification,Seoul,South Korea,0,2024,0,1
447,2024-06-11,Morocco,Congo,6.0,0.0,FIFA World Cup qualification,Agadir,Morocco,0,2024,0,1
448,2024-06-11,Kenya,Ivory Coast,0.0,0.0,FIFA World Cup qualification,Lilongwe,Malawi,1,2024,0,1
449,2024-06-11,Zambia,Tanzania,0.0,1.0,FIFA World Cup qualification,Ndola,Zambia,0,2024,0,1
450,2024-06-11,Seychelles,Burundi,1.0,3.0,FIFA World Cup qualification,Berkane,Morocco,1,2024,0,1
451,2024-06-11,Madagascar,Mali,0.0,0.0,FIFA World Cup qualification,Johannesburg,South Africa,1,2024,0,1
452,2024-06-11,Chad,Comoros,0.0,2.0,FIFA World Cup qualification,Oujda,Morocco,1,2024,0,1
453,2024-06-11,Kuwait,Afghanistan,1.0,0.0,FIFA World Cup qualification,Kuwait City,Kuwait,0,2024,0,1
454,2024-06-11,Qatar,India,2.0,1.0,FIFA World Cup qualification,Al Rayyan,Qatar,0,2024,0,1
455,2024-06-11,Japan,Syria,5.0,0.0,FIFA World Cup qualification,Hiroshima,Japan,0,2024,0,1
456,2024-06-11,North Korea,Myanmar,4.0,1.0,FIFA World Cup qualification,Vientiane,Laos,1,2024,0,1
457,2024-06-11,Gabon,Gambia,3.0,2.0,FIFA World Cup qualification,Franceville,Gabon,0,2024,0,1
458,2024-09-05,Jordan,Kuwait,1.0,1.0,FIFA World Cup qualification,Amman,Jordan,0,2024,0,1
